"id"	"id2"	"id3"	"sex"	"weight"	"TL"	"radmm"	"date"	"area"	"age"	"agei"	"ecotype"
"BH-00696"	2	5	"f"	NA	790	0.7313	"02.03.2020"	"WB"	3	2	1
"BH-00696"	2	5	"f"	NA	790	0.918	"02.03.2020"	"WB"	3	3	1
"BH-00732"	3	6	""	NA	617	0.6043	"14.12.2019"	"SB"	2	1	1
"BH-00732"	3	6	""	NA	617	0.7381	"14.12.2019"	"SB"	2	2	1
"BH-00742"	5	80	""	NA	550	0.4047	"8.11.2019"	"GB"	2	1	4
"BH-00742"	5	80	""	NA	550	0.7805	"8.11.2019"	"GB"	2	2	4
"BH-00750"	3	81	""	NA	560	0.6339	"8.11.2020"	"GB"	2	1	5
"BH-00750"	3	81	""	NA	560	0.7625	"8.11.2020"	"GB"	2	2	5
"BH-01556"	2	7	"f"	NA	1110	0.4665	"8.2.2020"	"BEG"	9	1	2
"BH-01556"	2	7	"f"	NA	1110	0.5841	"8.2.2020"	"BEG"	9	2	2
"BH-01556"	2	7	"f"	NA	1110	0.7538	"8.2.2020"	"BEG"	9	3	2
"BH-01556"	2	7	"f"	NA	1110	0.9246	"8.2.2020"	"BEG"	9	4	2
"BH-01556"	2	7	"f"	NA	1110	1.1024	"8.2.2020"	"BEG"	9	5	2
"BH-01556"	2	7	"f"	NA	1110	1.2431	"8.2.2020"	"BEG"	9	6	2
"BH-01556"	2	7	"f"	NA	1110	1.4063	"8.2.2020"	"BEG"	9	7	2
"BH-01556"	2	7	"f"	NA	1110	1.4858	"8.2.2020"	"BEG"	9	8	2
"BH-01556"	2	7	"f"	NA	1110	1.5767	"8.2.2020"	"BEG"	9	9	2
"BH-01560"	3	8	"f"	NA	820	0.5854	"8.2.2020"	"BEG"	6	1	2
"BH-01560"	3	8	"f"	NA	820	0.8218	"8.2.2020"	"BEG"	6	2	2
"BH-01560"	3	8	"f"	NA	820	0.9164	"8.2.2020"	"BEG"	6	3	2
"BH-01560"	3	8	"f"	NA	820	0.9891	"8.2.2020"	"BEG"	6	4	2
"BH-01560"	3	8	"f"	NA	820	1.1292	"8.2.2020"	"BEG"	6	5	2
"BH-01560"	3	8	"f"	NA	820	1.2733	"8.2.2020"	"BEG"	6	6	2
"BH-01567"	3	9	"m"	NA	460	0.488	"28.02.2020"	"BEG"	2	1	3
"BH-01567"	3	9	"m"	NA	460	0.6547	"28.02.2020"	"BEG"	2	2	3
"BH-01569"	4	10	"m"	NA	550	0.5543	"28.2.2020"	"BEG"	1	1	1
"BH-01571"	4	11	"f"	NA	520	0.5354	"28.2.2020"	"BEG"	1	1	3
"BH-01576"	5	12	"f"	NA	570	0.5808	"28.2.2020"	"BEG"	1	1	3
"BH-01580"	6	13	"f"	NA	490	0.7249	"28.02.2020"	"BEG"	1	1	3
"BH-01582"	4	14	"f"	NA	830	0.4012	"28.02.2020"	"BEG"	6	1	2
"BH-01582"	4	14	"f"	NA	830	0.6154	"28.02.2020"	"BEG"	6	2	2
"BH-01582"	4	14	"f"	NA	830	0.7857	"28.02.2020"	"BEG"	6	3	2
"BH-01582"	4	14	"f"	NA	830	0.9338	"28.02.2020"	"BEG"	6	4	2
"BH-01582"	4	14	"f"	NA	830	1.0675	"28.02.2020"	"BEG"	6	5	2
"BH-01582"	4	14	"f"	NA	830	1.2029	"28.02.2020"	"BEG"	6	6	2
"BH-01585"	5	15	"m"	NA	760	0.44	"28.02.2020"	"WB"	9	1	1
"BH-01585"	5	15	"m"	NA	760	0.5529	"28.02.2020"	"WB"	9	2	1
"BH-01585"	5	15	"m"	NA	760	0.692	"28.02.2020"	"WB"	9	3	1
"BH-01585"	5	15	"m"	NA	760	0.8149	"28.02.2020"	"WB"	9	4	1
"BH-01585"	5	15	"m"	NA	760	0.9338	"28.02.2020"	"WB"	9	5	1
"BH-01585"	5	15	"m"	NA	760	1.0832	"28.02.2020"	"WB"	9	6	1
"BH-01585"	5	15	"m"	NA	760	1.23	"28.02.2020"	"WB"	9	7	1
"BH-01585"	5	15	"m"	NA	760	1.3446	"28.02.2020"	"WB"	9	8	1
"BH-01585"	5	15	"m"	NA	760	1.4724	"28.02.2020"	"WB"	9	9	1
"BH-01588"	5	16	"f"	NA	1050	0.3223	"01.02.2020"	"KJB"	9	1	2
