"id"	"sex"	"weight"	"TL"	"date"	"area"	"age"	"agei"	"increment"	"rad"	"trad"	"quality"	"back_length"
"BH-00424"	"m"	508	425	"12.7.2019"	"Peene"	3	1	385.7	385.7	827.1	3	252.3753969853
"BH-00424"	"m"	508	425	"12.7.2019"	"Peene"	3	2	161.1	546.8	827.1	3	320.333272088818
"BH-00424"	"m"	508	425	"12.7.2019"	"Peene"	3	3	165.9	712.7	827.1	3	383.902325965747
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	4	1	514.1	514.1	1574	3	316.60276113328
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	4	2	279.5	793.6	1574	3	425.922214523769
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	4	3	295.6	1089.2	1574	3	528.775183268581
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	4	4	194.8	1284	1574	3	591.682922614958
"BH-00681"	"m"	NA	630	"28.02.2020"	"WB"	2	1	477	477	727.6	3	472.132212218483
"BH-00681"	"m"	NA	630	"28.02.2020"	"WB"	2	2	123.7	600.7	727.6	3	552.683323158693
"BH-00685"	"m"	NA	720	"29.02.2020"	"WB"	2	1	569.9	569.9	1059.6	3	471.328433090846
"BH-00685"	"m"	NA	720	"29.02.2020"	"WB"	2	2	292.7	862.6	1059.6	3	625.608563331581
"BH-00689"	"m"	NA	600	"01.03.2020"	"WB"	1	1	559.9	559.9	863.9	3	446.141895685632
"BH-00696"	"f"	NA	790	"02.03.2020"	"WB"	3	1	581.4	581.4	1076.4	3	518.654848250602
"BH-00696"	"f"	NA	790	"02.03.2020"	"WB"	3	2	149.9	731.3	1076.4	3	606.648044452766
"BH-00696"	"f"	NA	790	"02.03.2020"	"WB"	3	3	186.7	918	1076.4	3	708.595598025138
"BH-00732"	""	NA	617	"14.12.2019"	"SB"	2	1	604.3	604.3	790.2	3	513.695549841492
"BH-00732"	""	NA	617	"14.12.2019"	"SB"	2	2	133.8	738.1	790.2	3	588.909078447971
"BH-00742"	""	NA	550	"8.11.2019"	"GB"	2	1	404.7	404.7	834.1	3	335.573325323039
"BH-00742"	""	NA	550	"8.11.2019"	"GB"	2	2	375.8	780.5	834.1	3	525.601182308291
"BH-00750"	""	NA	560	"8.11.2020"	"GB"	2	1	633.9	633.9	846.1	3	459.745111260041
"BH-00750"	""	NA	560	"8.11.2020"	"GB"	2	2	128.6	762.5	846.1	3	521.579935416316
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	1	466.5	466.5	1634.1	2	471.39347221346
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	2	117.6	584.1	1634.1	2	549.649488699414
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	3	169.7	753.8	1634.1	2	654.275252828644
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	4	170.8	924.6	1634.1	2	752.240421907389
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	5	177.8	1102.4	1634.1	2	848.284001395257
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	6	140.7	1243.1	1634.1	2	920.832038227893
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	7	163.2	1406.3	1634.1	2	1001.79638752225
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	8	79.5	1485.8	1634.1	2	1040.14845133745
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	9	9	90.9	1576.7	1634.1	2	1083.2122316564
"BH-01560"	"f"	NA	820	"8.2.2020"	"BEG"	6	1	585.4	585.4	1380.9	3	456.234036476677
"BH-01560"	"f"	NA	820	"8.2.2020"	"BEG"	6	2	236.4	821.8	1380.9	3	575.212963478271
"BH-01560"	"f"	NA	820	"8.2.2020"	"BEG"	6	3	94.6	916.4	1380.9	3	619.663376075388
"BH-01560"	"f"	NA	820	"8.2.2020"	"BEG"	6	4	72.7	989.1	1380.9	3	652.83978034404
"BH-01560"	"f"	NA	820	"8.2.2020"	"BEG"	6	5	140.1	1129.2	1380.9	3	714.677612424077
"BH-01560"	"f"	NA	820	"8.2.2020"	"BEG"	6	6	144.1	1273.3	1380.9	3	775.790658343174
"BH-01567"	"m"	NA	460	"28.02.2020"	"BEG"	2	1	488	488	780.2	2	333.838219223249
"BH-01567"	"m"	NA	460	"28.02.2020"	"BEG"	2	2	166.7	654.7	780.2	2	408.060623936117
"BH-01569"	"m"	NA	550	"28.2.2020"	"BEG"	1	1	554.3	554.3	837.4	3	414.902169817309
"BH-01571"	"f"	NA	520	"28.2.2020"	"BEG"	1	1	535.4	535.4	713.2	3	427.489465023775
"BH-01576"	"f"	NA	570	"28.2.2020"	"BEG"	1	1	580.8	580.8	857	3	436.967766360217
"BH-01580"	"f"	NA	490	"28.02.2020"	"BEG"	1	1	724.9	724.9	923.3	3	415.353983988729
"BH-01582"	"f"	NA	830	"28.02.2020"	"BEG"	6	1	401.2	401.2	1309.6	3	369.894182480666
"BH-01582"	"f"	NA	830	"28.02.2020"	"BEG"	6	2	214.2	615.4	1309.6	3	495.460738341151
"BH-01582"	"f"	NA	830	"28.02.2020"	"BEG"	6	3	170.3	785.7	1309.6	3	585.455254168811
"BH-01582"	"f"	NA	830	"28.02.2020"	"BEG"	6	4	148.1	933.8	1309.6	3	658.764114486292
"BH-01582"	"f"	NA	830	"28.02.2020"	"BEG"	6	5	133.7	1067.5	1309.6	3	721.825182850631
"BH-01582"	"f"	NA	830	"28.02.2020"	"BEG"	6	6	135.4	1202.9	1309.6	3	783.181923378131
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	1	440	440	1562.7	3	319.725949914325
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	2	112.9	552.9	1562.7	3	373.718658564642
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	3	139.1	692	1562.7	3	435.639017423313
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	4	122.9	814.9	1562.7	3	487.114489085071
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	5	118.9	933.8	1562.7	3	534.614333390591
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	6	149.4	1083.2	1562.7	3	591.663194959313
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	7	146.8	1230	1562.7	3	645.332366839897
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	8	114.6	1344.6	1562.7	3	685.826331717137
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	9	9	127.8	1472.4	1562.7	3	729.715596306444
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	1	322.3	322.3	1672.1	3	340.970790437416
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	2	182	504.3	1672.1	3	462.962868831022
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	3	184	688.3	1672.1	3	572.57921565115
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	4	178.7	867	1672.1	3	670.375359124044
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	5	151.8	1018.8	1672.1	3	748.493564322702
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	6	115.8	1134.6	1672.1	3	805.618018495981
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	7	118.2	1252.8	1672.1	3	862.049802654892
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	8	140.3	1393.1	1672.1	3	926.887748208573
"BH-01588"	"f"	NA	1050	"01.02.2020"	"KJB"	9	9	140.7	1533.8	1672.1	3	989.861955456036
"BH-01594"	"f"	NA	630	"28.02.2020"	"WB"	1	1	659.3	659.3	877.3	3	518.301290229866
"BH-01595"	"m"	NA	690	"28.02.2020"	"WB"	4	1	406.1	406.1	1073.7	3	355.122406740909
"BH-01595"	"m"	NA	690	"28.02.2020"	"WB"	4	2	261.7	667.8	1073.7	3	498.83078745662
"BH-01595"	"m"	NA	690	"28.02.2020"	"WB"	4	3	181.6	849.4	1073.7	3	587.924826424952
"BH-01595"	"m"	NA	690	"28.02.2020"	"WB"	4	4	177.1	1026.5	1073.7	3	669.130404426364
"BH-01596"	"f"	NA	660	"01.01.2020"	"GJB"	2	1	520.4	520.4	809.5	3	488.041140558258
"BH-01596"	"f"	NA	660	"01.01.2020"	"GJB"	2	2	196.8	717.2	809.5	3	607.609963096281
"BH-01598"	"f"	NA	750	"01.01.2020"	"GJB"	4	1	534.8	534.8	1187.5	3	434.890854319419
"BH-01598"	"f"	NA	750	"01.01.2020"	"GJB"	4	2	139.2	674	1187.5	3	509.351905317169
"BH-01598"	"f"	NA	750	"01.01.2020"	"GJB"	4	3	178.6	852.6	1187.5	3	598.081330399946
"BH-01598"	"f"	NA	750	"01.01.2020"	"GJB"	4	4	252.4	1105	1187.5	3	713.998724809828
"BH-01713"	"f"	7200	980	"8.1.2020"	"SB"	6	1	601.3	601.3	1581.4	3	506.204472036992
"BH-01713"	"f"	7200	980	"8.1.2020"	"SB"	6	2	244	845.3	1581.4	3	638.823867499041
"BH-01713"	"f"	7200	980	"8.1.2020"	"SB"	6	3	179.9	1025.2	1581.4	3	728.835848354217
"BH-01713"	"f"	7200	980	"8.1.2020"	"SB"	6	4	166.3	1191.5	1581.4	3	807.664833400523
"BH-01713"	"f"	7200	980	"8.1.2020"	"SB"	6	5	137	1328.5	1581.4	3	870.007908789803
"BH-01713"	"f"	7200	980	"8.1.2020"	"SB"	6	6	130.6	1459.1	1581.4	3	927.565346219613
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	1	434.1	434.1	2011.6	1	364.813637581666
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	2	208.2	642.3	2011.6	1	476.773575895964
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	3	133.6	775.9	2011.6	1	542.474020510179
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	4	117.5	893.4	2011.6	1	597.333364023994
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	5	154.7	1048.1	2011.6	1	666.192365389748
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	6	130.1	1178.2	2011.6	1	721.632564550091
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	7	145.9	1324.1	2011.6	1	781.545650441512
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	8	172.7	1496.8	2011.6	1	849.82338849617
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	9	127.9	1624.7	2011.6	1	898.78573050592
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	10	162.3	1787	2011.6	1	959.193950760216
"BH-01717"	"f"	NA	1040	"28.02.2020"	"BEG"	11	11	98.9	1885.9	2011.6	1	995.150402252695
"BH-01719"	"f"	1400	550	"23.12.2019"	"SB"	1	1	658	658	957.5	3	425.66164940048
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	1	466.7	466.7	1859.5	3	369.464915572647
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	2	85.7	552.4	1859.5	3	414.564895457826
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	3	102.2	654.6	1859.5	3	465.540905378418
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	4	139.5	794.1	1859.5	3	531.221639948422
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	5	159.3	953.4	1859.5	3	601.893834564463
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	6	146.1	1099.5	1859.5	3	663.471401566817
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	7	98.9	1198.4	1859.5	3	703.683672042369
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	8	158.2	1356.6	1859.5	3	765.89018981908
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	9	96.3	1452.9	1859.5	3	802.627726355348
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	10	104.6	1557.5	1859.5	3	841.668032705274
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	11	103.3	1660.8	1859.5	3	879.415504628743
"BH-01722"	"f"	NA	950	"28.02.2020"	"BEG"	12	12	73.4	1734.2	1859.5	3	905.785623438499
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	1	686.2	686.2	1803.5	3	490.928538458171
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	2	157.3	843.5	1803.5	3	565.267903084207
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	3	151.5	995	1803.5	3	632.796396590479
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	4	106.5	1101.5	1803.5	3	678.319055475754
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	5	127.8	1229.3	1803.5	3	731.14467909641
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	6	99	1328.3	1803.5	3	770.875414265717
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	7	120.3	1448.6	1803.5	3	817.913442347137
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	8	128	1576.6	1803.5	3	866.622185790635
"BH-01731"	"m"	6800	950	"8.1.2020"	"SB"	9	9	0	1576.6	1803.5	3	866.622185790635
"BH-01737"	"f"	11500	1130	"27.2.2020"	"KB"	8	1	321.5	321.5	1497.8	3	394.939445740592
"BH-01737"	"f"	11500	1130	"27.2.2020"	"KB"	8	2	308.2	629.7	1497.8	3	625.151940058196
"BH-01737"	"f"	11500	1130	"27.2.2020"	"KB"	8	3	273.8	903.5	1497.8	3	800.025423133272
