"ID"	"age"	"capt"	"area"	"d18O"	"res"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"year"	"dist"
"BH-00355"	2	"Peene"	"Freshwater"	-9.2705864	-1.68071542803005	0.00177	0.00809	0.000127	3.72333333333333e-05	0.000107611111111111	"1"	0
"BH-00355"	2	"Peene"	"Freshwater"	-9.20753575	-1.6255544630222	0.00156759856630824	0.0079958064516129	9.64200716845878e-05	3.23010752688172e-05	8.61559139784946e-05	"1"	35.90264614
"BH-00355"	2	"Peene"	"Freshwater"	-9.093559575	-1.51966334583128	0.0014110394265233	0.00725089605734767	8.58114695340502e-05	2.79275985663082e-05	6.64125448028674e-05	"1"	71.80529228
"BH-00355"	2	"Peene"	"Freshwater"	-8.9710958125	-1.3739970111057	0.00119064516129032	0.00707974910394265	8.3616129032258e-05	2.30982078853047e-05	7.52505376344086e-05	"1"	143.836713
"BH-00355"	2	"Peene"	"Freshwater"	-9.0571842	-1.43754082273165	0.00117677419354839	0.00714681003584229	8.6994623655914e-05	2.26017921146953e-05	7.0915770609319e-05	"1"	179.7386992
"BH-00355"	2	"Peene"	"Freshwater"	-9.08143445	-1.43759595835559	0.00131412186379928	0.00722035842293907	7.36551971326165e-05	3.6036559139785e-05	8.07451612903226e-05	"1"	215.8703314
"BH-00355"	2	"Peene"	"Freshwater"	-9.0535466625	-1.37643738612804	0.00162440860215054	0.00765139784946237	7.55032258064516e-05	4.44666666666667e-05	9.26100358422939e-05	"1"	251.771722
"BH-00355"	2	"Peene"	"Freshwater"	-9.0462715875	-1.31254905758991	0.00200519713261649	0.00757218637992832	8.25691756272401e-05	4.62716845878136e-05	9.83681003584229e-05	"1"	287.673426
"BH-00355"	2	"Peene"	"Freshwater"	-8.962608225	-1.14572199932651	0.00188724014336918	0.0073315770609319	7.56448028673835e-05	5.73856630824373e-05	5.77025089605735e-05	"1"	323.575339
"BH-00355"	2	"Peene"	"Freshwater"	-8.768606225	-0.875063906775773	0.00168774193548387	0.00717268817204301	7.23487455197132e-05	5.98494623655914e-05	5.28698924731183e-05	"1"	359.7068251
"BH-00355"	2	"Peene"	"Freshwater"	-8.45092795	-0.505983284827952	0.00106625089605735	0.0077184229390681	8.11193548387097e-05	1.84207885304659e-05	7.49677419354839e-05	"1"	395.6083922
"BH-00355"	2	"Peene"	"Freshwater"	-8.2848137375	-0.328755494654602	0.00085563440860215	0.00739598566308244	7.10010752688172e-05	1.26652329749104e-05	6.45057347670251e-05	"1"	431.5101389
