"ID"	"waterbody"	"capt"	"clust"	"ecotype"	"age"	"weight_g"	"TL_mm"	"sex"	"lifeyear"	"year"	"inc_um"	"rad_um"	"res_mean"	"res_max"	"res_min"	"Sr_mean"	"Sr_max"	"Sr_min"	"type"	"turbidity"	"SAL"	"WT"	"P"
"BH-00391"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	9	5220	903	"f"	6	"2016"	113.8	1316.6	-0.0844296499364428	0.265091049048228	-0.343495509091363	0.0020727094017094	0.00234252136752137	0.00190583333333333	NA	NA	NA	NA	NA
"BH-00391"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	9	5220	903	"f"	7	"2017"	92	1408.6	-0.010556081601058	1.56373062533222	-1.40110378165539	0.00217636752136752	0.00223376068376068	0.00208683760683761	NA	NA	NA	NA	NA
"BH-00391"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	9	5220	903	"f"	8	"2018"	105.7	1514.3	0.562858407234408	2.26897510978321	-0.178234400875514	0.00215334401709402	0.00223882478632479	0.00208019230769231	NA	NA	NA	NA	NA
"BH-00391"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	9	5220	903	"f"	9	"2019"	80.7	1595	1.4128116666756	4.45745045357725	-1.05009358872188	0.00238730056980057	0.00252709401709402	0.0022850641025641	NA	NA	NA	NA	NA
"BH-00392"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	7	5600	930	"f"	1	"2013"	565	565	0.775138042051766	2.16666626457839	-0.434587626313988	0.00159535014245014	0.00240508547008547	0.00105905555555556	NA	NA	NA	NA	NA
"BH-00392"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	7	5600	930	"f"	2	"2014"	189.1	754.1	-0.211877542459835	1.09481880423257	-1.01677781540291	0.00193389838556505	0.00228115384615385	0.00154094017094017	NA	NA	NA	NA	NA
"BH-00392"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	7	5600	930	"f"	3	"2015"	229.4	983.5	-0.634412991860504	1.67944866794235	-1.68621865103066	0.00203094017094017	0.00226290598290598	0.00178811965811966	NA	NA	NA	NA	NA
"BH-00392"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	7	5600	930	"f"	4	"2016"	215.7	1199.2	-0.137493222338374	0.947136886422527	-1.10534925335556	0.00222969230769231	0.0023867094017094	0.00203564102564102	NA	NA	NA	NA	NA
"BH-00392"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	7	5600	930	"f"	5	"2017"	140.3	1339.5	0.39824250499287	1.1146721797452	-0.919887186649333	0.00240204415954416	0.0027276923076923	0.00211888888888889	NA	NA	NA	NA	NA
"BH-00392"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	7	5600	930	"f"	6	"2018"	132.3	1471.8	0.763408110864294	3.01977457697562	-1.68263054884678	0.00307778632478633	0.00350064102564103	0.00285025641025641	NA	NA	NA	NA	NA
"BH-00392"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	7	5600	930	"f"	7	"2019"	110	1581.8	0.604406319374942	1.69565806335258	-0.254948217412288	0.00282477564102564	0.00317905982905983	0.00261803418803419	NA	NA	NA	NA	NA
"BH-00398"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	6	2650	761	"f"	1	"2014"	431	431	-0.417446244250695	1.58001862479221	-2.07214224991444	0.00131403703703704	0.00167044444444444	0.0010076	NA	NA	NA	NA	NA
"BH-00398"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	6	2650	761	"f"	2	"2015"	300.5	731.5	-0.383676025132098	1.41425166644292	-1.74486832138774	0.00151916161616162	0.00183888888888889	0.00135755555555556	NA	NA	NA	NA	NA
"BH-00398"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	6	2650	761	"f"	3	"2016"	252.5	984	0.0891333617909029	1.92629560542744	-1.03052022217272	0.00180085714285714	0.00195055555555556	0.00171222222222222	NA	NA	NA	NA	NA
"BH-00398"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	6	2650	761	"f"	4	"2017"	103.8	1087.8	0.513729892741446	1.36131317497143	-0.367659019581857	0.00184688888888889	0.00213244444444445	0.00159555555555556	NA	NA	NA	NA	NA
"BH-00398"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	6	2650	761	"f"	5	"2018"	131.6	1219.4	0.0886462888756475	0.761996694071209	-0.776073464154662	0.00201238888888889	0.00222444444444444	0.00183577777777778	NA	NA	NA	NA	NA
"BH-00398"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	6	2650	761	"f"	6	"2019"	132.4	1351.8	0.811986997620066	2.62311567705138	-0.809496725387937	0.00229622222222222	0.00243333333333333	0.00220866666666667	NA	NA	NA	NA	NA
"BH-00405"	"Tributary"	"Barthe"	"FW low saline|shift"	"FW_resident"	2	715.9	466	"f"	1	"2018"	367.2	367.2	-1.12666102408213	0.640298770565608	-2.14000478611664	0.00191267521367521	0.00222718518518518	0.00149277777777778	NA	NA	NA	NA	NA
"BH-00405"	"Tributary"	"Barthe"	"FW low saline|shift"	"FW_resident"	2	715.9	466	"f"	2	"2019"	295.9	663.1	0.313370573077629	3.07307483171629	-1.16220821812534	0.00127528756613757	0.00209318518518519	0.000915055555555555	NA	NA	NA	NA	NA
"BH-00411"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	3	1870	677	"f"	1	"2017"	397.9	397.9	-0.44563957656667	1.91310551706227	-1.91247283716886	0.00166509722222222	0.00180027777777778	0.00154294444444444	NA	NA	NA	NA	NA
"BH-00411"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	3	1870	677	"f"	2	"2018"	388.7	786.6	0.218795153014319	3.05221862174215	-1.69567837155336	0.00217584104938272	0.00319883333333333	0.00150683333333333	NA	NA	NA	NA	NA
"BH-00411"	"Tributary"	"Barthe"	"FW int saline|const"	"Anadromous"	3	1870	677	"f"	3	"2019"	214.7	1001.3	0.614694355208885	2.95159516093902	-0.909672213226315	0.00237477777777778	0.00294444444444444	0.00192022222222222	NA	NA	NA	NA	NA
"BH-00418"	"Tributary"	"Peene"	"FW low saline|cold"	"FW_resident"	6	2450	758	"f"	1	"2014"	386.8	386.8	0.536184300727755	2.06110894987097	-0.354062287461546	0.000732550139762404	0.000841660377358491	0.000629536687631027	NA	NA	NA	NA	NA
"BH-00418"	"Tributary"	"Peene"	"FW low saline|cold"	"FW_resident"	6	2450	758	"f"	2	"2015"	261.4	648.2	0.798675649753614	1.83297779910787	-0.014946711142243	0.000815840371368673	0.000941501048218029	0.000715727463312369	NA	NA	NA	NA	NA
"BH-00418"	"Tributary"	"Peene"	"FW low saline|cold"	"FW_resident"	6	2450	758	"f"	3	"2016"	300.8	949	1.33620115510386	2.04790041382776	0.757867986056888	0.000925123951781971	0.00108623060796646	0.000830696016771489	NA	NA	NA	NA	NA
