"ID"	"ID2"	"sex"	"weight_g"	"TL_mm"	"rad_mm"	"area"	"age"	"lifeyear"	"ecotype_char"	"ecotype_num"
"BH-00689"	15	"m"	NA	600	0.8771	"NRB"	2	2	"BW-resident"	1
"BH-00696"	16	"f"	NA	790	0.4994	"NRB"	4	1	"BW-resident"	1
"BH-00696"	16	"f"	NA	790	0.7029	"NRB"	4	2	"BW-resident"	1
"BH-00696"	16	"f"	NA	790	0.8871	"NRB"	4	3	"BW-resident"	1
"BH-00696"	16	"f"	NA	790	1.0422	"NRB"	4	4	"BW-resident"	1
"BH-00729"	17	"f"	NA	770	0.461	"WRB"	4	1	"BW-resident"	1
"BH-00729"	17	"f"	NA	770	0.8084	"WRB"	4	2	"BW-resident"	1
"BH-00729"	17	"f"	NA	770	1.0303	"WRB"	4	3	"BW-resident"	1
"BH-00729"	17	"f"	NA	770	1.2356	"WRB"	4	4	"BW-resident"	1
"BH-00730"	18	"m"	NA	758	0.4912	"WRB"	8	1	"BW-resident"	1
"BH-00730"	18	"m"	NA	758	0.8848	"WRB"	8	2	"BW-resident"	1
"BH-00730"	18	"m"	NA	758	1.0315	"WRB"	8	3	"BW-resident"	1
"BH-00730"	18	"m"	NA	758	1.1791	"WRB"	8	4	"BW-resident"	1
"BH-00730"	18	"m"	NA	758	1.3029	"WRB"	8	5	"BW-resident"	1
"BH-00730"	18	"m"	NA	758	1.4358	"WRB"	8	6	"BW-resident"	1
"BH-00730"	18	"m"	NA	758	1.5234	"WRB"	8	7	"BW-resident"	1
"BH-00730"	18	"m"	NA	758	1.6211	"WRB"	8	8	"BW-resident"	1
"BH-00732"	19	"f"	NA	617	0.51	"WRB"	1	1	"Trans-habitat"	4
"BH-00742"	20	"m"	NA	550	0.6074	"GB"	1	1	"Trans-habitat"	4
"BH-00750"	21	"f"	NA	560	0.6967	"GB"	1	1	"Trans-habitat"	4
"BH-01555"	22	"f"	NA	760	0.424	"NRB"	5	1	"BW-resident"	1
"BH-01555"	22	"f"	NA	760	0.882	"NRB"	5	2	"BW-resident"	1
"BH-01555"	22	"f"	NA	760	1.1327	"NRB"	5	3	"BW-resident"	1
"BH-01555"	22	"f"	NA	760	1.3386	"NRB"	5	4	"BW-resident"	1
"BH-01555"	22	"f"	NA	760	1.4697	"NRB"	5	5	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	0.3788	"NRB"	10	1	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	0.6034	"NRB"	10	2	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	0.7944	"NRB"	10	3	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	0.9569	"NRB"	10	4	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	1.1013	"NRB"	10	5	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	1.2339	"NRB"	10	6	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	1.3377	"NRB"	10	7	"BW-resident"	1
