"fish_ID"	"age"	"capt"	"area"	"d18O"	"sims_dist"	"lifeyear"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"res"
"BH-00355"	2	"Peene"	"Freshwater"	-9.6488903	0	1	0.00177	0.00809	0.000127	3.72333333333333e-05	0.000107611111111111	-2.01636873201762
"BH-00355"	2	"Peene"	"Freshwater"	-9.9010929	35.90264614	1	0.00156759856630824	0.0079958064516129	9.64200716845878e-05	3.23010752688172e-05	8.61559139784946e-05	-2.14512651902897
"BH-00355"	2	"Peene"	"Freshwater"	-10.104795	71.80529228	1	0.0014110394265233	0.00725089605734767	8.58114695340502e-05	2.79275985663082e-05	6.64125448028674e-05	-2.25334306154139
"BH-00355"	2	"Peene"	"Freshwater"	-8.5236787	143.836713	1	0.00119064516129032	0.00707974910394265	8.3616129032258e-05	2.30982078853047e-05	7.52505376344086e-05	-0.537808104721161
"BH-00355"	2	"Peene"	"Freshwater"	-8.9310829	179.7386992	1	0.00117677419354839	0.00714681003584229	8.6994623655914e-05	2.26017921146953e-05	7.0915770609319e-05	-0.936752389256955
"BH-00355"	2	"Peene"	"Freshwater"	-9.2220859	215.8703314	1	0.00131412186379928	0.00722035842293907	7.36551971326165e-05	3.6036559139785e-05	8.07451612903226e-05	-1.3115238545253
"BH-00355"	2	"Peene"	"Freshwater"	-8.9116827	251.771722	1	0.00162440860215054	0.00765139784946237	7.55032258064516e-05	4.44666666666667e-05	9.26100358422939e-05	-1.19036481001281
"BH-00355"	2	"Peene"	"Freshwater"	-8.9213828	287.673426	1	0.00200519713261649	0.00757218637992832	8.25691756272401e-05	4.62716845878136e-05	9.83681003584229e-05	-1.43230817071505
"BH-00355"	2	"Peene"	"Freshwater"	-9.1444851	323.575339	1	0.00188724014336918	0.0073315770609319	7.56448028673835e-05	5.73856630824373e-05	5.77025089605735e-05	-1.58346839889925
"BH-00355"	2	"Peene"	"Freshwater"	-8.9892835	359.7068251	1	0.00168774193548387	0.00717268817204301	7.23487455197132e-05	5.98494623655914e-05	5.28698924731183e-05	-1.30659266589204
"BH-00355"	2	"Peene"	"Freshwater"	-9.1250849	395.6083922	1	0.00106625089605735	0.0077184229390681	8.11193548387097e-05	1.84207885304659e-05	7.49677419354839e-05	-1.06334613260208
"BH-00355"	2	"Peene"	"Freshwater"	-9.2123858	431.5101389	1	0.00085563440860215	0.00739598566308244	7.10010752688172e-05	1.26652329749104e-05	6.45057347670251e-05	-1.02219185107549
"BH-00355"	2	"Peene"	"Freshwater"	-9.1250849	467.6419571	1	0.000817236559139785	0.00693164874551971	6.38551971326165e-05	1.18022580645161e-05	6.35964157706093e-05	-0.911472068809831
"BH-00355"	2	"Peene"	"Freshwater"	-8.9989836	537.4988372	1	0.000819720430107527	0.00702362007168459	6.99455197132616e-05	8.81236559139785e-06	5.69942652329749e-05	-0.786885683904586
"BH-00355"	2	"Peene"	"Freshwater"	-8.8534821	572.6587116	1	0.000783139784946236	0.00695150537634409	6.49322580645161e-05	7.22598566308244e-06	3.86921146953405e-05	-0.619073616145484
"BH-00355"	2	"Peene"	"Freshwater"	-8.2520759	607.5870308	1	0.000769390681003584	0.00764344086021506	6.81770609318997e-05	8.24623655913979e-06	4.8126164874552e-05	-0.00928182551997623
"BH-00355"	2	"Peene"	"Freshwater"	-7.5924691	642.5153695	1	0.000748136200716846	0.00706272401433692	5.91921146953405e-05	6.57136200716846e-06	3.41537634408602e-05	0.663288100759807
"BH-00355"	2	"Peene"	"Freshwater"	-6.4478573	677.4437246	1	0.000923906810035842	0.00695695340501792	5.4078853046595e-05	6.4189605734767e-06	1.6907311827957e-05	1.70069725105313
"BH-00355"	2	"Peene"	"Freshwater"	-7.7961712	712.6043783	2	0.000901103942652329	0.0062721146953405	4.7815770609319e-05	6.8120788530466e-06	1.12766666666667e-05	0.366290839989381
"BH-00355"	2	"Peene"	"Freshwater"	-8.7855814	747.532608	2	0.000801064516129032	0.00616591397849462	6.31100358422939e-05	6.67745519713262e-06	1.33396415770609e-05	-0.562105225508923
"BH-00355"	2	"Peene"	"Freshwater"	-8.9601832	782.4608616	2	0.000815354838709677	0.00585856630824373	6.68168458781362e-05	7.23329749103943e-06	2.83845878136202e-05	-0.74542270585926
"BH-00355"	2	"Peene"	"Freshwater"	-8.4169776	817.6221621	2	0.000879562724014337	0.00630444444444445	6.44956989247312e-05	8.32541218637993e-06	6.16655913978495e-05	-0.241377551757414
"BH-00355"	2	"Peene"	"Freshwater"	-8.0968743	852.5502918	2	0.00087863082437276	0.00673931899641577	7.35562724014337e-05	7.71043010752688e-06	4.00046594982079e-05	0.0792941146562017
"BH-00355"	2	"Peene"	"Freshwater"	-8.7661812	887.4784504	2	0.000851379928315412	0.00585985663082437	6.72559139784946e-05	6.59587813620072e-06	3.93498207885305e-05	-0.573392439794862
"BH-00355"	2	"Peene"	"Freshwater"	-8.8049816	922.4066348	2	0.000788734767025089	0.0056615770609319	6.31491039426523e-05	6.90903225806452e-06	3.96003584229391e-05	-0.573985500651847
"BH-00355"	2	"Peene"	"Freshwater"	-7.5342685	957.5682743	2	0.000807301075268817	0.00657329749103943	6.32741935483871e-05	7.73749103942652e-06	4.64232974910394e-05	0.685403991569184
"BH-00355"	2	"Peene"	"Freshwater"	-7.8543718	992.4963476	2	0.000840562724014337	0.00629215053763441	5.88032258064516e-05	6.86297491039426e-06	4.30519713261649e-05	0.345014382652422
"BH-00355"	2	"Peene"	"Freshwater"	-5.8658513	1027.42445	2	0.000931275985663083	0.00576405017921147	4.98186379928315e-05	5.48412186379928e-06	3.22093189964158e-05	2.27820878433622
"BH-00355"	2	"Peene"	"Freshwater"	-4.9249416	1062.586467	2	0.00118386379928315	0.00631354838709677	5.10569892473118e-05	6.11430107526882e-06	1.11944802867383e-05	3.06506495395023
"BH-00355"	2	"Peene"	"Freshwater"	-7.1074641	1097.514465	3	0.00111761290322581	0.00630817204301075	4.77455197132616e-05	7.05541218637993e-06	7.71028673835128e-06	0.922948933909001
"BH-00355"	2	"Peene"	"Freshwater"	-9.0668843	1132.442493	3	0.00115659498207885	0.00618562724014337	5.58247311827958e-05	7.80086021505376e-06	1.93683154121864e-05	-1.06024647037749
"BH-00355"	2	"Peene"	"Freshwater"	-7.8543718	1167.604813	3	0.00105077777777778	0.00627222222222222	7.23222222222222e-05	6.91222222222222e-06	2.72666666666667e-05	0.216804035888619
"BH-00356"	7	"Peene"	"Freshwater"	-8.6206797	36.23534186	1	0.00134666666666667	0.00771555555555556	0.000103411111111111	2.60777777777778e-05	0.000158111111111111	-0.729966758508519
"BH-00356"	7	"Peene"	"Freshwater"	-8.5333788	72.47068373	1	0.00140292929292929	0.00727222222222222	0.000102527272727273	2.57515151515151e-05	0.000134919191919192	-0.676980483906802
"BH-00356"	7	"Peene"	"Freshwater"	-8.7370809	129.5569373	1	0.00143979797979798	0.00727464646464647	8.26050505050505e-05	2.67272727272727e-05	0.000162030303030303	-0.903168828557389
"BH-00356"	7	"Peene"	"Freshwater"	-9.0474841	291.3022485	1	0.00131686868686869	0.00654010101010101	8.56232323232323e-05	2.37050505050505e-05	0.000114730303030303	-1.13859734433887
"BH-00356"	7	"Peene"	"Freshwater"	-9.0959846	327.5362575	1	0.00127535353535354	0.00622181818181818	6.68757575757576e-05	2.01828282828283e-05	0.000128232323232323	-1.16177771680081
"BH-00356"	7	"Peene"	"Freshwater"	-8.8728823	364.2471688	1	0.00120919191919192	0.00616838383838384	6.76282828282828e-05	1.28366666666667e-05	9.85616161616162e-05	-0.898323388729218
"BH-00356"	7	"Peene"	"Freshwater"	-8.6594801	400.4809608	1	0.00105580808080808	0.00651767676767677	6.96191919191919e-05	1.06765656565657e-05	8.4030303030303e-05	-0.591372250367814
"BH-00356"	7	"Peene"	"Freshwater"	-7.5730689	436.71501	1	0.000875444444444445	0.00641545454545455	6.77717171717172e-05	8.8789898989899e-06	7.95e-05	0.605042890585835
"BH-00356"	7	"Peene"	"Freshwater"	-8.1453748	473.4258126	1	0.000844747474747475	0.00689343434343434	6.3140404040404e-05	9.3810101010101e-06	9.07989898989899e-05	0.0514590994880597
"BH-00356"	7	"Peene"	"Freshwater"	-8.0968743	509.6596904	1	0.000840646464646465	0.00682050505050505	5.78919191919192e-05	8.64474747474747e-06	7.77868686868687e-05	0.102460809167003
"BH-00356"	7	"Peene"	"Freshwater"	-7.3499666	546.3707532	1	0.000827161616161616	0.00664242424242424	4.74636363636364e-05	6.51949494949495e-06	7.43272727272727e-05	0.85759293015564
"BH-00356"	7	"Peene"	"Freshwater"	-7.2626657	582.6044971	1	0.000957555555555556	0.00668444444444445	5.51666666666667e-05	6.93888888888889e-06	7.75333333333333e-05	0.865366451472247
"BH-00356"	7	"Peene"	"Freshwater"	-7.0783638	618.838428	1	0.00107560606060606	0.00667555555555556	4.43232323232323e-05	7.39515151515151e-06	7.97363636363636e-05	0.97766924428557
"BH-00356"	7	"Peene"	"Freshwater"	-6.1083538	655.5493879	1	0.000936444444444444	0.00705868686868687	4.19e-05	8.82353535353535e-06	9.57828282828283e-05	2.03255403676532
"BH-00356"	7	"Peene"	"Freshwater"	-7.6312695	691.783203	2	0.000838717171717172	0.00676131313131313	5.8749494949495e-05	8.93383838383838e-06	9.83e-05	0.5692422866268
"BH-00356"	7	"Peene"	"Freshwater"	-8.9310829	728.4943377	2	0.00090610101010101	0.00692070707070707	7.15121212121212e-05	1.02516161616162e-05	0.000116366666666667	-0.7716685758565
"BH-00356"	7	"Peene"	"Freshwater"	-8.3199766	764.7280562	2	0.000885919191919192	0.00708929292929293	6.84777777777778e-05	8.70767676767677e-06	0.000133383838383838	-0.14825336714092
"BH-00356"	7	"Peene"	"Freshwater"	-7.6894701	800.0831207	2	0.00073649494949495	0.00733313131313131	6.44242424242424e-05	8.91545454545454e-06	0.000135050505050505	0.573387110151158
"BH-00356"	7	"Peene"	"Freshwater"	-8.164775	835.9162637	3	0.000774	0.00672020202020202	6.10616161616162e-05	8.47545454545455e-06	0.000133343434343434	0.0752078467572901
"BH-00356"	7	"Peene"	"Freshwater"	-8.1259746	871.2714847	3	0.000912474747474747	0.00656666666666667	7.80292929292929e-05	9.82151515151515e-06	0.000144636363636364	0.0295523760956882
