"ID"	"age"	"cohort"	"capt"	"TL_mm"	"weight_g"	"sex"	"date"	"core"	"lifeyear"	"year"	"increment_um"	"rad_um"	"total_rad_um"	"quality"
"BH-00418"	6	2013	"Peene"	758	2450	"f"	2019-07-12	192.5	5	2018	195.1	1378.7	1611.1	3
"BH-00418"	6	2013	"Peene"	758	2450	"f"	2019-07-12	192.5	6	2019	174.3	1553	1611.1	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	1	2010	384.7	384.7	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	2	2011	195.8	580.5	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	3	2012	209.6	790.1	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	4	2013	190.7	980.8	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	5	2014	155.8	1136.6	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	6	2015	150.9	1287.5	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	7	2016	162.6	1450.1	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	8	2017	124.7	1574.8	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	9	2018	112.8	1687.6	1909.4	3
"BH-00419"	10	2009	"Peene"	958	5780	"f"	2019-07-12	187.5	10	2019	128.5	1816.1	1909.4	3
"BH-00424"	2	2017	"Peene"	425	508.3	"m"	2019-07-12	178.7	1	2018	394.1	394.1	815.6	3
"BH-00424"	2	2017	"Peene"	425	508.3	"m"	2019-07-12	178.7	2	2019	266.7	660.8	815.6	3
"BH-00670"	4	2015	"KB"	680	NA	"f"	NA	147.6	1	2016	512.9	512.9	1367.6	3
"BH-00670"	5	2014	"KB"	680	NA	"f"	NA	91.4	1	2015	300.9	813.8	1114.9	3
"BH-00670"	4	2015	"KB"	680	NA	"f"	NA	147.6	2	2017	260.9	1074.7	1367.6	3
"BH-00670"	5	2014	"KB"	680	NA	"f"	NA	91.4	2	2016	171.3	1246	1114.9	3
"BH-00670"	4	2015	"KB"	680	NA	"f"	NA	147.6	3	2018	229.3	1475.3	1367.6	3
"BH-00670"	5	2014	"KB"	680	NA	"f"	NA	91.4	3	2017	153.9	1629.2	1114.9	3
"BH-00670"	4	2015	"KB"	680	NA	"f"	NA	147.6	4	2019	217	1846.2	1367.6	3
"BH-00670"	5	2014	"KB"	680	NA	"f"	NA	91.4	4	2018	247.4	2093.6	1114.9	3
"BH-00670"	5	2014	"KB"	680	NA	"f"	NA	91.4	5	2019	111.9	2205.5	1114.9	3
"BH-00681"	2	2018	"WB"	630	NA	"m"	NA	310.4	1	2019	584.7	584.7	856.9	3
"BH-00681"	2	2018	"WB"	630	NA	"m"	NA	310.4	2	2020	272.2	856.9	856.9	3
"BH-00685"	3	2017	"WB"	720	NA	"m"	NA	156.7	1	2018	563.4	563.4	1045.4	3
"BH-00685"	3	2017	"WB"	720	NA	"m"	NA	156.7	2	2019	211.5	774.9	1045.4	3
"BH-00685"	3	2017	"WB"	720	NA	"m"	NA	156.7	3	2020	270.5	1045.4	1045.4	3
