Random Effects;;;;;;
?2;0.0177916;;;0.0177917;;
?00;0.0000000 ID;;;0.0000292 waterbody;;
;0.0000292 waterbody;;;;;
ICC;;;;0.0016379;;
N;11 waterbody;;;11 waterbody;;
;86 ID;;;;;
Observations;365;;;365;;
Marginal R2 / Conditional R2;0.711 / NA;;;0.710 / 0.711;;
